Timestamp,moradorOuSeguranca,casaOuPredios,cidadeCasas,qntdCasas,1a5seguroCasas,1a5segurancaCasas,problemas,problemasDescricaoCasas,temCamerasCasas,camerasSuficientesCasas,moraComDependenteCasas,dependenteTransitaSoCasas,preocupadoDependenteAndarSoCasas,avisadoDependenteSoCasas,cidadePredios,qntdBlocosPredios,andaresPredios,1a5seguroPredios,1a5segurancaPredios,problemasPredios,descricaoPredios,temCamerasPredios,camerasSuficientesPredios,"MoraComDependentesPredios
distúrbios)",dependenteTansitaSoPredios,"PreocupadoDependenteAndarSoPredios
acompanhamento?",avisadoDependenteSoPredios,trabalhaCasaPredio,cidadeTrabalhaPredio,seguranca1a5trabalhaPredio,controleDeAcessoPredios,temCameraTrabalhaPredios,"CamerasSuficientesTrabalhaPredios
comuns?",problemasTrabalhaPredio,descricaoTrabalhaPredio,cidadeTrabalhaCasas,1a5segurancaTrabalhaCasas,Qual controle de acesso seu condomínio possui?,temCamerasTrabalhaCasas,camerasSuficientesCasas,problemasTrabalhaCasa,descricaoProblemaTrabalhaCasa
10/21/2024 13:13:19,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju,Até 6 blocos,Mais de 8 andares,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:13:21,Morador,Moro em um condomínio de Casas,Rio de Janeiro ,De 5 a 10 quadras,3,3,Não,,Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:13:21,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Campo grande ,De 6 a 11 blocos,De 3-8 andares,3,3,Não,,Sim,Não,Não,,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:13:30,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Belo Horizonte,Até 6 blocos,Mais de 8 andares,4,4,Não,,Sim,Não,Não,,,Sim,,,,,,,,,,,,,,,
10/21/2024 13:13:43,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Rio de Janeiro ,Até 6 blocos,De 3-8 andares,2,2,Sim,Um desconhecido entrou e roubou uma bicicleta. ,Sim,Não,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:13:49,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,São José dos Pinhais ,Até 6 blocos,De 3-8 andares,2,2,Sim,Roubo de Bicicletas ,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:13:49,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracruz (ES),Até 6 blocos,Mais de 8 andares,4,3,Não,,Sim,Sim,Não,,,Sim,,,,,,,,,,,,,,,
10/21/2024 13:14:02,Morador,Moro em um condomínio de Casas,Doutor severiano RN ,De 5 a 10 quadras,3,3,Sim,Roubo de moto,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:04,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Uberlândia -MG,Mais de 11 blocos,Até 3 andares,4,3,Não,,Sim,Sim,Não,,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:14:04,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Goiânia ,De 6 a 11 blocos,Mais de 8 andares,5,4,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:07,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,João Pessoa,Até 6 blocos,Mais de 8 andares,4,4,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:17,Morador,Moro em um condomínio de Casas,Brasília ,De 5 a 10 quadras,5,4,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:18,Morador,Moro em um condomínio de Casas,Aracaju ,Até 5 quadras,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
